Card Concept,Card Element/Type/Slot,Name,Supertype,Type,Subtype,Element,Cost,Dedication,Text,Strength,Defense,Mana,Territory Defense,Flavor Text,Element ID,Card Number,Rarity,Deckbuilding Points 185,@dedication_image,@rarity_icon,@frame,Card ID,Art ID,@card_image,Set,Subset,@set_symbol,Copyright Text,Landscape Name,Supertype,Type,Subtype,Landscape Text,Landscape Flavor Text,@Landscape_Dedication,Landscape Mana,Landscape Defense,@rarity_icon_landscape,@image_landscape,Landscape Copyright Text,Ben's Rating,Dan's Rating
Draw a card if played at a Monument.,Common Light Unit,Master Craftsman,,Unit,Human Townsfolk,Light,1,1,"When you summon Master Craftsman to a Monument, draw a card.",0,2,,,ßß^He worked for years to develop objects of intense beauty before he was drawn into a conflict that required his skills in other ways...^,L,140,Common,0,dedication_Light_1.png,Common.png,frame_Unit_Light.psd,L140,20,020-Prime-Light.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L140",,,,,,,,,,,,,0,0
Pay some resources to give this flying and Strength +1,Common Light Unit,Council's Templar,,Unit,Human Knight,Light,2,2,"%Counterattack% ^(The first time this unit wins a defense roll against a unit this turn, it may attack the unit that attacked it.)^",2,2,,,"ßß""The day I witnessed the ceremonial templars take up arms, I knew the war had come.""ß— Averett, Farmhand",L,141,Common,0,dedication_Light_2.png,Common.png,frame_Unit_Light.psd,L141,warrior,prime-warrior-Light.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L141",,,,,,,,,,,,,0,0
Master Trapper,Common Light Unit,Enforcer of Tranquility,,Unit,Human Soldier,Light,2,2,"When you summon Enforcer of Tranquility, you may reduce the Strength of an adjacent enemy unit to 0 until your next turn.",1,1,,,ßß^Their binding magic was used to pacify criminals for prosecution before the war.^,L,142,Common,0,dedication_Light_2.png,Common.png,frame_Unit_Light.psd,L142,capture,prime-capture-Light.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L142",,,,,,,,,,,,,0,0
"Has Strength +1 and Defense +1 when on a Monument you control.7/3/17: Removed deplete ability, added ""Draw a card"" on summon instead.",Common Light Unit,Dawn's Protector,,Unit,Spirit,Light,3,1,"%Flying% ^(This unit may march into and out of spaces occupied by enemy units.)^ßßWhen you summon Dawn's Protector, draw a card.",2,2,,,ßß^The Stalwart Sisters' duty does not end at the grave.^,L,143,Common,0,dedication_Light_1.png,Common.png,frame_Unit_Light.psd,L143,38,038-Prime-Light.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L143",,,,,,,,,,,,,0,0
Gets extra defense if defending against Shadow,Common Light Unit,Consecrated Guard,,Unit,Human Soldier,Light,3,1,"%Light & Shadow Explorer% ^(If this unit begins its turn on a Light or Shadow territory, it gains March +1 until the end of the turn.)^",2,2,,,ßß^The Council's personal guard were equally adept at negotiating the brightest halls and the darkest corridors.^,L,144,Common,0,dedication_Light_1.png,Common.png,frame_Unit_Light.psd,L144,rider1,prime-rider1-Light.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L144",,,,,,,,,,,,,0,0
Vanilla medium,Common Light Unit,Samal's Golem,,Unit,Golem,Light,4,2,,2,5,,,"^Carved years ago in the image of the now-dying king of Merenthia, the golems reflect the sun's rays with a vigor found only in youth.^",L,145,Common,0,dedication_Light_2.png,Common.png,frame_Unit_Light.psd,L145,15,015-Prime-Light.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L145",,,,,,,,,,,,,0,0
Large vanilla,Common Light Unit,Merenthian Veterans,,Unit,Human Soldier,Light,5,1,"%Inspiration% ^(Whenever this unit wins an attack roll, you may put a +1/+1 counter on each unit you control with less Strength)^.""",3,3,,,,L,146,Common,0,dedication_Light_1.png,Common.png,frame_Unit_Light.psd,L146,1,001-Prime-Light.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L146",,,,,,,,,,,,,0,0
Father of Benediction - deplete to give another unit protection from an element of your choice.,Uncommon Light Unit,Father of Benediction,,Unit,Human Cleric,Light,2,2,"Pay {2}, £: Another target unit you control gains %Protection% from the element of your choice until the end of the turn. ^(Double the result of defense rolls that unit makes against sources of the chosen element.)^",1,1,,,,L,147,Uncommon,1,dedication_Light_2.png,Uncommon.png,frame_Unit_Light.psd,L147,52,052-Prime-Light.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L147",,,,,,,,,,,,,0,0
"Sacrifice, look for a relic, put it into play.7/3/17: Changed back to Strategy (used to be ""condition"").",Uncommon Light Unit,Battle Surveyor,,Unit,Human Soldier,Light,3,1,"Pay {5}, £, sacrifice Battle Surveyor: Search your deck for a strategy card and put it onto the battlefield without paying its mana cost, then shuffle your deck.",2,2,,,"ßß^He came, he saw, you conquered.^",L,148,Uncommon,1,dedication_Light_1.png,Uncommon.png,frame_Unit_Light.psd,L148,29,029-Prime-Light.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L148",,,,,,,,,,,,,,
Ranged unit,Uncommon Light Unit,Fleetfoot Archers,,Unit,Human Archer,Light,4,2,"%Ranged% ^(This unit may attack units or territories up to one space away without moving.)^ßß%Counterattack% ^(The first time this unit wins a defense roll against a unit this turn, it may attack the unit that attacked it.)^",2,3,,,,L,149,Uncommon,1,dedication_Light_2.png,Uncommon.png,frame_Unit_Light.psd,L149,51,051-Prime-Light.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L149",,,,,,,,,,,,,0,0
"instructor, gives another unit inspiration",Uncommon Light Unit,Veteran of Merenthia,,Unit,Human Soldier,Light,4,2,"When you summon Veteran of Merenthia, another unit you control gains %Inspiration% until the end of the turn ^(whenever that unit wins an attack roll, you may put a +1/+1 counter on each unit you control with less Strength.)^",2,2,,,ßß^His sword rings with the truth his followers want to hear.^,L,150,Uncommon,1,dedication_Light_2.png,Uncommon.png,frame_Unit_Light.psd,L150,16,016-Prime-Light.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L150",,,,,,,,,,,,,,
Adjacent friendly units have flying,Uncommon Light Unit,Soulspark Valkyrie,,Unit,Valkyrie,Light,5,2,%Flying% ^(This unit may march into and out of spaces occupied by enemy units.)^ßßUnits you control that are adjacent to Soulspark Valkyrie have %Flying% and get +1/+1.,3,4,,,,L,151,Uncommon,1,dedication_Light_2.png,Uncommon.png,frame_Unit_Light.psd,L151,14,014-Prime-Light.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L151",,,,,,,,,,,,,,
protection from shadow,Uncommon Light Unit,Gleaming Guardian,,Unit,Elemental Avatar,Light,7,2,Gleaming Guardian gets %Defense +1% for each other adjacent allied unit.,6,6,,,ßß^The Vedana have searched for all their unnaturally long lives for disruptive relics that would undo their stranglehold on existence.^,L,152,Uncommon,1,dedication_Light_2.png,Uncommon.png,frame_Unit_Light.psd,L152,monument2,prime-monument2-Light.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L152",,,,,,,,,,,,,0,0
Light Elemental,Rare Light Unit,Merenthian Elite,,Unit,Human Soldier,Light,4,2,"%Ranged% ^(This unit may attack units or territories up to one space away without moving.)^ßß%Counterattack% ^(The first time this unit wins a defense roll against a unit this turn, it may attack the unit that attacked it.)^ßßWhenever Merenthian Elite counterattacks, switch its Strength and Defense until the end of the turn.",2,5,,,,L,153,Rare,2,dedication_Light_2.png,Rare.png,frame_Unit_Light.psd,L153,warrior4,prime-warrior4-Light.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L153",,,,,,,,,,,,,0,0
Recurs a unit when it dies.,Rare Light Unit,Shepherd of Mercy,,Unit,Spirit Warrior,Light,4,2,"%Flying% ^(This unit may march into and out of spaces occupied by enemy units.)^ßßWhen Shepherd of Mercy dies, you may summon target unit with mana cost 2 or less from your discard to the space where Shepherd of Mercy died without paying its mana cost.",3,3,,,"ßß^Where mercy fails, hope may begin anew.^",L,154,Rare,2,dedication_Light_2.png,Rare.png,frame_Unit_Light.psd,L154,spirit,prime-spirit-Light.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L154",,,,,,,,,,,,,0,0
adjacent enemy units have 0 attack,Rare Light Unit,"Tamlan, Eldritch Priest",Legendary,Unit,Vedana Cleric,Light,5,1,"Whenever Tamlan, Eldritch Priest is attacked, change the result of each die in the attack roll to the lowest die rolled. ^(For instance, if a 2, 4 and 6 are rolled, treat the roll as though three 2's were rolled.)^",3,3,,,"ßß^The townsfolk rushed to the temple where Tamlan was praying, shouting news of an army at the castle's walls. Tamlan stood, gave a weary stare toward the host and sighed, ""Let them come.""^",L,155,Rare,2,dedication_Light_1.png,Rare.png,frame_Unit_Light.psd,L155,oldman,prime-oldman-Light.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L155",,,,,,,,,,,,,0,0
Unit has attack and defense equal to the number of light units you control,Rare Light Unit,Champion of the People,,Unit,Human Warrior,Light,6,2,"%Resilient% ^(This unit does not suffer defense penalties.)^ßßChampion of the People has %Inspiration% if you control three or more other units. ^(Whenever a unit with Inspiration wins an attack roll, put a +1/+1 counter on each unit you control with less Strength.)^",4,4,,,,L,156,Rare,2,dedication_Light_2.png,Rare.png,frame_Unit_Light.psd,L156,blessed2,prime-blessed2-Light.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L156",,,,,,,,,,,,,0,0
"Destroy target relic7/3/17: Changed to ""Destroy target relic or strategy"". Added 1 to mana cost.",Common Light Spell,Dispel Magic,Tactical,Spell,Negation,Light,2,1,Destroy target relic or strategy.,,,,,"ßß^""It is with a heavy heart that I must pass this burden to you. You must not allow the old gods to wake.""ß— Letter from King Samal to his son Samar^",L,157,Common,0,dedication_Light_1.png,Common.png,frame_tactical_Spell_Light.psd,L157,31,031-Prime-Light.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L157",,,,,,,,,,,,,0,0
Add 10 to a defense roll,Common Light Spell,Sanctuary,Tactical,Spell,Protection,Light,2,1,Add 10 to target defending unit's next defense roll this turn.,,,,,"ßß^An ancient rite, its effects were once attributed to the gods, but it remains potent in a world where prayers often go unanswered.^",L,158,Common,0,dedication_Light_1.png,Common.png,frame_tactical_Spell_Light.psd,L158,blessed,prime-blessed-Light.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L158",,,,,,,,,,,,,0,0
Target unit gains strafe until the end of the turn (it may move left or right one space  after it attacks).,Common Light Tactic,Protective Ward,Tactical,Spell,Protection,Light,3,2,Target unit you control gains %Defense +2% and %Protection% from the element of your choice until the end of the turn ^(double the result of defense rolls this unit makes against sources of the element of your choice)^.ßßDraw a card.,,,,,,L,159,Common,0,dedication_Light_2.png,Common.png,frame_tactical_Spell_Light.psd,L159,35,035-Prime-Light.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L159",,,,,,,,,,,,,0,0
steal the attack of an enemy unit,Common Light Tactic,Call to Arms,Strategic,Spell,Alteration,Light,4,2,"Target unit you control gains %Strength +X% until the end of the turn, where X is equal to the Strength of an adjacent unit.",,,,,ßß^No friend too weak. No foe too strong.^,L,160,Common,0,dedication_Light_2.png,Common.png,frame_Spell_Light.psd,L160,2,002-Prime-Light.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L160",,,,,,,,,,,,,0,0
"mana rock unit7/3/17: Changed to Defensive Formation (Strategy)",Common Light Strategy,Defensive Formation,,Strategy,Warfare,Light,6,1,Each unit you control can only be attacked by one enemy unit each turn.,,,,,"ßß^""It contains but 'a mere fragment of amaranth'? Would you say 'a mere fragment of immortality?'""ß— Aranon, the Conquerer^",L,161,Common,0,dedication_Light_1.png,Common.png,frame_Strategy_Light.psd,E161,warrior5,prime-warrior5-Light.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E161",,,,,,,,,,,,,,
Cancel an attack,Uncommon Light Spell,Day of Obligation,Tactical,Spell,Protection,Light,2,1,^Beginning of Battle Only^ — Deplete target attacking unit. Draw a card. ^(That unit is no longer attacking.)^,,,,,"ßß^""When they hear our truth, their knees will bend. And if they don't, we have other methods.""ß— Hamad, Father of Benediction^",L,162,Uncommon,1,dedication_Light_1.png,Uncommon.png,frame_tactical_Spell_Light.psd,L162,27,027-Prime-Light.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L162",,,,,,,,,,,,,0,0
target unit gets Defense +2 snd counterattack,Uncommon Light Spell,Paragon Elevation,Strategic,Spell,Enchantment,Light,3,1,"Target unit gains %Strength +1% and %Inspiration% until the end of the turn. ^(Whenever that unit wins an attack roll, you may put a +1/+1 counter on each unit you control with less Strength.)^",,,,,ßß^Honor and titles are Imariton steel.^,L,163,Uncommon,1,dedication_Light_1.png,Uncommon.png,frame_Spell_Light.psd,L163,battle3,prime-battle3-Light.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L163",,,,,,,,,,,,,0,0
"Monument with higher defense7/3/17: Changed to Superior Leadership (Strategy)",Uncommon Light Strategy,Superior Leadership,,Strategy,Warfare,Light,4,2,Units you control get +1/+1.,,,,,,L,164,Uncommon,1,dedication_Light_2.png,Uncommon.png,frame_Strategy_Light.psd,L164,guidance,prime-guidance-Light.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L164",,,,,,,,,,,monument_light.jpg,,0,0
put target unit on a Monument on top of owner's deck,Uncommon Light Tactic,Demoralize,Tactical,Spell,Arcane,Light,6,2,Put target unit on the top or the bottom of its owner's deck.,,,,,"ßß^The sandmage was warned by a weary priestess not to join the battle. He later staggered home in a daze, mumbling words of caution to no one.^",L,165,Uncommon,1,dedication_Light_2.png,Uncommon.png,frame_tactical_Spell_Light.psd,L165,retreat,prime-retreat-Light.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L165",,,,,,,,,,,,,0,0
Return target unit that died this turn to play.,Rare Light Spell,Miraculous Recovery,Tactical,Spell,Restoration,Light,4,2,Return target unit in your discard that died this turn to the battlefield on the space where it died.  ^(Treat that unit as though it was just summoned.)^,,,,,"ßß^“Cancel the search party, Lady Kythrin. I am safe and sound.”ß— Gareth Thenn^",L,166,Rare,2,dedication_Light_2.png,Rare.png,frame_tactical_Spell_Light.psd,L166,resurrection,prime-resurrection-Light.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L166",,,,,,,,,,,,,4,4
"Destroy any shadow units on or adjacent to this territory7/3/17: Changed to Anti-Magic Aura",Rare Light Strategy,Anti-Magic Aura,,Strategy,Aura,Light,5,2,Units you control can't be the target of spells or abilities controlled by your opponent.,,,~1,1,,L,167,Rare,2,dedication_Light_2.png,Rare.png,frame_Strategy_Light.psd,L167,city,prime-city-Light.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L167",,,,,,,,,,,monument_light.jpg,,0,0
Target territory can't be attacked this turn.,Rare Light Unit,Sacred Ground,Tactical,Spell,Protection,Light,6,2,^Beginning of Opponent's Turn Only^ — Target territory can't be besieged this turn. Draw a card.,,,,,"ßß^""The ogres are stirring at the gates, unable to understand Aranon's hesitation, while the Merenthians revel within.""ß— Journal Entry, Isandra, Karthan High Priestess^",L,168,Rare,2,dedication_Light_2.png,Rare.png,frame_tactical_Spell_Light.psd,L168,34,034-Prime-Light.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L168",,,,,,,,,,,,,0,0
Light mind control,Rare Light Spell,Sublime Resplendence,Strategic,Spell,Enchantment,Light,6,3,Gain control of target unit with mana cost less than or equal to the number of Monuments you control.,,,,,"ßß^""I offer you warm light and brilliant life! Who here would refuse such a gift?""ß— Ronan, Merenthian Bishop",L,169,Rare,2,dedication_Light_3.png,Rare.png,frame_Spell_Light.psd,L169,battle5,prime-battle5-Light.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L169",,,,,,,,,,,,,4,4
Destroy all units on Monuments.,Rare Light Tactic,Ray of Purification,Strategic,Spell,Arcane,Light,8,3,"Each player sacrifices 3 units, starting with your opponent.",,,,,"ßß^""Only fools mistake justice for peace.""ß— Tamlan, the Eldritch Priest^",L,170,Rare,2,dedication_Light_3.png,Rare.png,frame_Spell_Light.psd,L170,explosion,prime-explosion-Light.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L170",,,,,,,,,,,,,0,0
Monument,Common Light Territory,Monument,Basic,Territory,Monument,Light,,1,"^Monument adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Light.^",,,~1,2,,L,171,Common,0,dedication_Light_1.png,Common.png,frame_Territory_Light.psd,L171,46,046-Prime-Light.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L171",Monument,Basic,Territory,Monument,"^Monument adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Light.^",0,dedication_Light_1.png,~1,2,Common.png,monument_light.jpg,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L171",0,0
Monument,Common Light Territory,Monument,Basic,Territory,Monument,Light,,1,"^Monument adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Light.^",,,~1,2,,L,172,Common,0,dedication_Light_1.png,Common.png,frame_Territory_Light.psd,L172,city-territory,prime-city-territory-Light.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L172",Monument,Basic,Territory,Monument,"^Monument adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Light.^",0,dedication_Light_1.png,~1,2,Common.png,monument_light.jpg,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L172",0,0
Monument,Common Light Territory,Monument,Basic,Territory,Monument,Light,,1,"^Monument adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Light.^",,,~1,2,,L,173,Common,0,dedication_Light_1.png,Common.png,frame_Territory_Light.psd,L173,monument,prime-monument-Light.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L173",Monument,Basic,Territory,Monument,"^Monument adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Light.^",0,dedication_Light_1.png,~1,2,Common.png,monument_light.jpg,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L173",0,0
Monument,Common Light Territory,Monument,Basic,Territory,Monument,Light,,1,"^Monument adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Light.^",,,~1,2,,L,174,Common,0,dedication_Light_1.png,Common.png,frame_Territory_Light.psd,L174,monument2-territory,prime-monument2-territory-Light.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L174",Monument,Basic,Territory,Monument,"^Monument adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Light.^",0,dedication_Light_1.png,~1,2,Common.png,monument_light.jpg,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - L174",0,0
"skeleton with recursion7/3/17: Changed so they have to be defeated twice in battle to ""die"".",Common Shadow Unit,Shambling Skeleton,,Unit,Skeleton Minion,Shadow,1,1,"Whenever Shambling Skeleton is defeated in battle, deplete it instead of putting it into its owner's discard. If Shambling Skeleton is already depleted, banish it instead of depleting it or putting it into its owner's discard. ^(If a charging unit defeats Shambling Skeleton, it moves into the space it is charging into.)^",1,2,,,"ßß^""Do the dead rise?""ß— Ghis expression for ""Do you think I’m joking?""^",S,175,Common,0,dedication_Shadow_1.png,Common.png,frame_Unit_Shadow.psd,S175,4,004-Prime-Shadow.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - S175",,,,,,,,,,,,,0,0
Aggressive 4/4,Common Shadow Unit,Moonblade Agent,,Unit,Vampire Rogue,Shadow,2,2,,2,1,,,"ßß^""The Moonblade Guild is full of criminals and low-life thieves, but the commoners fear them, and they're visible enough to provide cover for actual assassins.""ß— Lady Kythrin, Councillor of Merenthia^",S,176,Common,0,dedication_Shadow_2.png,Common.png,frame_Unit_Shadow.psd,S176,30,030-Prime-Shadow.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - S176",,,,,,,,,,,,,0,0
Uncommon unit with a discard ability,Common Shadow Unit,Undercity Mortician,,Unit,Human Cleric,Shadow,3,1,"^Strategy Phase Only^ — Pay {1}, £, banish a unit card in a discard: Draw a card from the bottom of your deck.",1,1,,,"ßß^They decide which secrets stay buried forever, and which may resurface. ^",S,177,Common,0,dedication_Shadow_1.png,Common.png,frame_Unit_Shadow.psd,S177,death,prime-death-Shadow.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - S177",,,,,,,,,,,,,0,0
French vanilla small (Backstab - double attack rolls if the unit is behind this unit),Common Shadow Unit,Ghis Cutthroat ,,Unit,Human Rogue,Shadow,3,1,"%Backstab% {2} ^(When you summon this unit, you may pay its Backstab cost to attack target enemy unit in the same space. If you do, double its Strength until the end of the battle.)^",3,2,,,ßß^Looters and lost travelers all reach a sudden end in the abandoned streets of Ghis.^,S,178,Common,0,dedication_Shadow_1.png,Common.png,frame_Unit_Shadow.psd,S178,14,014-Prime-Shadow.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - S178",,,,,,,,,,,,,0,0
Steals defense when cast.,Common Shadow Unit,Essence Drinker,,Unit,Vampire,Shadow,5,2,"%Flying% ^(This unit may march into and out of spaces occupied by enemy units.)^ßßPay {4}, £: Enemy units adjacent to Essence Drinker get %Defense -1% until the end of the turn.",2,4,,,,S,179,Common,0,dedication_Shadow_2.png,Common.png,frame_Unit_Shadow.psd,S179,caster,prime-caster-Shadow.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - S179",,,,,,,,,,,,,0,0
Large vanilla,Common Shadow Unit,Gravebound Wraith,,Unit,Ghost,Shadow,8,1,,7,5,,,^Even the dead have leaders who can be pressed into service.^,S,180,Common,0,dedication_Shadow_1.png,Common.png,frame_Unit_Shadow.psd,S180,creepy,prime-creepy-Shadow.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - S180",,,,,,,,,,,,,0,0
"When it comes into play, reduce adjacent enemy unit defense to 1.7/3/17: I'm concerned about how much removal Shadow has, so changing this to a really stealthy unit.",Uncommon Shadow Unit,Creeping Shade,,Unit,Shade,Shadow,1,1,"%Flying%ßßCreeping Shade can't be attacked if its Defense is 0.ßßPay {3}: Put a +1/+1 counter on Creeping Shade.ßßAt the beginning of your turn, remove all +1/+1 counters from Creeping Shade.",0,0,,,,S,181,Uncommon,1,dedication_Shadow_1.png,Uncommon.png,frame_Unit_Shadow.psd,S181,wraith,prime-wraith-Shadow.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - S181",,,,,,,,,,,,,0,0
"May be played in enemy territory if adjacent to a ruins or one of itself.7/3/17: Changed to Graverobber (draws a card when it comes into play)",Uncommon Shadow Territory,Moonblade Delver,,Unit,,Shadow,2,1,"When you summon Moonblade Delver, draw a card from the bottom of your deck.",2,1,,,,S,182,Uncommon,1,dedication_Shadow_1.png,Uncommon.png,frame_Unit_Shadow.psd,S182,warrior2,prime-warrior2-Shadow.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - S182",,,,,,,,,,,ruins_shadow.jpg,,0,0
Trinket thief - gain control of target relic,Uncommon Shadow Unit,Trinket Thief,,Unit,Human Rogue,Shadow,3,1,"Pay {X}, sacrifice Trinket Thief: Gain control of target relic or strategy with mana cost X.",2,1,,,"ßß^""I trust a Merenthian as far as I can throw him. Let's just say I can be pretty trusting.""ß— Bhu, Ogre General^",S,183,Uncommon,1,dedication_Shadow_1.png,Uncommon.png,frame_Unit_Shadow.psd,S183,merchant,prime-merchant-Shadow.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - S183",,,,,,,,,,,,,4,4
"medium sized rogue with backstab and overkill (if it kills one unit, it may attack a second)",Uncommon Shadow Unit,Merenthian Scoundrel,,Unit,Human Rogue,Shadow,3,1,"%Backstab% {3} ^(When you summon this unit, you may pay its Backstab cost to attack target enemy unit in the same space. If you do, double its Strength until the end of the battle.)^ßßWhen you pay Merenthian Scoundrel's Backstab cost, draw a card.",3,3,,,,S,184,Uncommon,1,dedication_Shadow_1.png,Uncommon.png,frame_Unit_Shadow.psd,S184,17,017-Prime-Shadow.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - S184",,,,,,,,,,,,,0,0
"sacrifice to cause player to discard.7/3/17: Simplified, now has discard death trigger",Uncommon Shadow Unit,Mindreaper,,Unit,Ghost Reaper,Shadow,4,2,"%Flying% ^(This unit may march into and out of spaces occupied by enemy units.)^ßßWhen Mindreaper is defeated in a battle, target player discards 2 cards.",2,3,,,,S,185,Uncommon,1,dedication_Shadow_2.png,Uncommon.png,frame_Unit_Shadow.psd,S185,demon,prime-demon-Shadow.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - S185",,,,,,,,,,,,,0,0
"Skeletal Mage - 2/3 Ranged, can't attack territories ranged.",Uncommon Shadow Unit,Spectral Sorcerer,,Unit,Ghost Mage,Shadow,5,2,%Ranged% ^(This unit may attack other units up to one space away without moving.)^ßßSpectral Sorcerer cannot besiege territories with Ranged attacks.,3,2,,,ßß^Their gaunt forms contain but a fragment of their original power.^,S,186,Uncommon,1,dedication_Shadow_2.png,Uncommon.png,frame_Unit_Shadow.psd,S186,37,037-Prime-Shadow.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - S186",,,,,,,,,,,,,0,0
